miles_per_gallon,engine,volume,hp,pounds,torque,year,source,make,Price
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,2197
15,8,350,165,3693,11.5,70,1,buick skylark 320,2301
18,8,318,150,3436,11,70,1,plymouth satellite,2434
16,8,304,150,3433,12,70,1,amc rebel sst,1251
17,8,302,140,3449,10.5,70,1,ford torino,1792
15,8,429,198,4341,10,70,1,ford galaxie 500,1764
14,8,454,220,4354,9,70,1,chevrolet impala,1217
14,8,440,215,4312,8.5,70,1,plymouth fury iii,1561
14,8,455,225,4425,10,70,1,pontiac catalina,2144
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,1469
15,8,383,170,3563,10,70,1,dodge challenger se,1213
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,2447
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,1396
14,8,455,225,3086,10,70,1,buick estate wagon (sw),1797
24,4,113,95,2372,15,70,3,toyota corona mark ii,1516
22,6,198,95,2833,15.5,70,1,plymouth duster,2022
18,6,199,97,2774,15.5,70,1,amc hornet,2142
21,6,200,85,2587,16,70,1,ford maverick,1505
27,4,97,88,2130,14.5,70,3,datsun pl510,1481
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,2332
25,4,110,87,2672,17.5,70,2,peugeot 504,2462
24,4,107,90,2430,14.5,70,2,audi 100 ls,1462
25,4,104,95,2375,17.5,70,2,saab 99e,1986
26,4,121,113,2234,12.5,70,2,bmw 2002,1627
21,6,199,90,2648,15,70,1,amc gremlin,2437
10,8,360,215,4615,14,70,1,ford f250,1765
10,8,307,200,4376,15,70,1,chevy c20,1764
11,8,318,210,4382,13.5,70,1,dodge d200,2036
9,8,304,193,4732,18.5,70,1,hi 1200d,1269
27,4,97,88,2130,14.5,71,3,datsun pl510,1515
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,2215
25,4,113,95,2228,14,71,3,toyota corona,1827
25,4,98,?,2046,19,71,1,ford pinto,1460
19,6,232,100,2634,13,71,1,amc gremlin,2208
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,1539
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,1264
19,6,250,88,3302,15.5,71,1,ford torino 500,1305
18,6,232,100,3288,15.5,71,1,amc matador,1703
14,8,350,165,4209,12,71,1,chevrolet impala,1725
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,2162
14,8,351,153,4154,13.5,71,1,ford galaxie 500,1264
14,8,318,150,4096,13,71,1,plymouth fury iii,1713
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),2445
13,8,400,170,4746,12,71,1,ford country squire (sw),1629
13,8,400,175,5140,12,71,1,pontiac safari (sw),2462
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),1822
22,4,140,72,2408,19,71,1,chevrolet vega (sw),1545
19,6,250,100,3282,15,71,1,pontiac firebird,1955
18,6,250,88,3139,14.5,71,1,ford mustang,1739
23,4,122,86,2220,14,71,1,mercury capri 2000,2009
28,4,116,90,2123,14,71,2,opel 1900,2210
30,4,79,70,2074,19.5,71,2,peugeot 304,1622
30,4,88,76,2065,14.5,71,2,fiat 124b,2493
31,4,71,65,1773,19,71,3,toyota corolla 1200,2310
35,4,72,69,1613,18,71,3,datsun 1200,2335
27,4,97,60,1834,19,71,2,volkswagen model 111,1272
26,4,91,70,1955,20.5,71,1,plymouth cricket,1336
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,1511
25,4,98,80,2126,17,72,1,dodge colt hardtop,2076
23,4,97,54,2254,23.5,72,2,volkswagen type 3,1645
20,4,140,90,2408,19.5,72,1,chevrolet vega,1968
21,4,122,86,2226,16.5,72,1,ford pinto runabout,1650
13,8,350,165,4274,12,72,1,chevrolet impala,1885
14,8,400,175,4385,12,72,1,pontiac catalina,2319
