number,season,episode,airdate,title,tvmaze link
1,1,1,20 Sep 99,"Payback","https://www.tvmaze.com/episodes/6979/law-order-special-victims-unit-1x01-payback"
2,1,2,27 Sep 99,"A Single Life","https://www.tvmaze.com/episodes/6980/law-order-special-victims-unit-1x02-a-single-life"
3,1,3,04 Oct 99,"...Or Just Look Like One","https://www.tvmaze.com/episodes/6981/law-order-special-victims-unit-1x03-or-just-look-like-one"
4,1,4,11 Oct 99,"Hysteria","https://www.tvmaze.com/episodes/6982/law-order-special-victims-unit-1x04-hysteria"
5,1,5,18 Oct 99,"Wanderlust","https://www.tvmaze.com/episodes/6983/law-order-special-victims-unit-1x05-wanderlust"
6,1,6,25 Oct 99,"Sophomore Jinx","https://www.tvmaze.com/episodes/6984/law-order-special-victims-unit-1x06-sophomore-jinx"
7,1,7,15 Nov 99,"Uncivilized","https://www.tvmaze.com/episodes/6985/law-order-special-victims-unit-1x07-uncivilized"
8,1,8,22 Nov 99,"Stalked","https://www.tvmaze.com/episodes/6986/law-order-special-victims-unit-1x08-stalked"
9,1,9,29 Nov 99,"Stocks & Bondage","https://www.tvmaze.com/episodes/6987/law-order-special-victims-unit-1x09-stocks-bondage"
10,1,10,07 Jan 00,"Closure","https://www.tvmaze.com/episodes/6988/law-order-special-victims-unit-1x10-closure"
11,1,11,14 Jan 00,"Bad Blood","https://www.tvmaze.com/episodes/6989/law-order-special-victims-unit-1x11-bad-blood"
12,1,12,21 Jan 00,"Russian Love Poem","https://www.tvmaze.com/episodes/6990/law-order-special-victims-unit-1x12-russian-love-poem"
13,1,13,04 Feb 00,"Disrobed","https://www.tvmaze.com/episodes/6991/law-order-special-victims-unit-1x13-disrobed"
14,1,14,11 Feb 00,"Limitations","https://www.tvmaze.com/episodes/6992/law-order-special-victims-unit-1x14-limitations"
15,1,15,18 Feb 00,"Entitled, Part 1","https://www.tvmaze.com/episodes/6993/law-order-special-victims-unit-1x15-entitled-part-1"
16,1,16,25 Feb 00,"The Third Guy","https://www.tvmaze.com/episodes/6994/law-order-special-victims-unit-1x16-the-third-guy"
17,1,17,31 Mar 00,"Misleader","https://www.tvmaze.com/episodes/6995/law-order-special-victims-unit-1x17-misleader"
18,1,18,14 Apr 00,"Chat Room","https://www.tvmaze.com/episodes/6996/law-order-special-victims-unit-1x18-chat-room"
19,1,19,28 Apr 00,"Contact","https://www.tvmaze.com/episodes/6997/law-order-special-victims-unit-1x19-contact"
20,1,20,05 May 00,"Remorse","https://www.tvmaze.com/episodes/6998/law-order-special-victims-unit-1x20-remorse"
21,1,21,12 May 00,"Nocturne","https://www.tvmaze.com/episodes/6999/law-order-special-victims-unit-1x21-nocturne"
22,1,22,19 May 00,"Slaves","https://www.tvmaze.com/episodes/7000/law-order-special-victims-unit-1x22-slaves"
23,2,1,20 Oct 00,"Wrong is Right","https://www.tvmaze.com/episodes/7001/law-order-special-victims-unit-2x01-wrong-is-right"
24,2,2,27 Oct 00,"Honor","https://www.tvmaze.com/episodes/7002/law-order-special-victims-unit-2x02-honor"
25,2,3,03 Nov 00,"Closure, Part 2","https://www.tvmaze.com/episodes/7003/law-order-special-victims-unit-2x03-closure-part-2"
26,2,4,10 Nov 00,"Legacy","https://www.tvmaze.com/episodes/7004/law-order-special-victims-unit-2x04-legacy"
27,2,5,17 Nov 00,"Baby Killer","https://www.tvmaze.com/episodes/7005/law-order-special-victims-unit-2x05-baby-killer"
28,2,6,24 Nov 00,"Noncompliance","https://www.tvmaze.com/episodes/7006/law-order-special-victims-unit-2x06-noncompliance"
29,2,7,01 Dec 00,"Asunder","https://www.tvmaze.com/episodes/7007/law-order-special-victims-unit-2x07-asunder"
30,2,8,15 Dec 00,"Taken","https://www.tvmaze.com/episodes/7008/law-order-special-victims-unit-2x08-taken"
31,2,9,12 Jan 01,"Pixies","https://www.tvmaze.com/episodes/7009/law-order-special-victims-unit-2x09-pixies"
32,2,10,19 Jan 01,"Consent","https://www.tvmaze.com/episodes/7010/law-order-special-victims-unit-2x10-consent"
33,2,11,26 Jan 01,"Abuse","https://www.tvmaze.com/episodes/7011/law-order-special-victims-unit-2x11-abuse"
34,2,12,02 Feb 01,"Secrets","https://www.tvmaze.com/episodes/7012/law-order-special-victims-unit-2x12-secrets"
35,2,13,09 Feb 01,"Victims","https://www.tvmaze.com/episodes/7013/law-order-special-victims-unit-2x13-victims"
36,2,14,16 Feb 01,"Paranoia","https://www.tvmaze.com/episodes/7014/law-order-special-victims-unit-2x14-paranoia"
37,2,15,23 Feb 01,"Countdown","https://www.tvmaze.com/episodes/7015/law-order-special-victims-unit-2x15-countdown"
38,2,16,02 Mar 01,"Runaway","https://www.tvmaze.com/episodes/7016/law-order-special-victims-unit-2x16-runaway"
39,2,17,23 Mar 01,"Folly","https://www.tvmaze.com/episodes/7017/law-order-special-victims-unit-2x17-folly"
40,2,18,20 Apr 01,"Manhunt","https://www.tvmaze.com/episodes/7018/law-order-special-victims-unit-2x18-manhunt"
41,2,19,27 Apr 01,"Parasites","https://www.tvmaze.com/episodes/7019/law-order-special-victims-unit-2x19-parasites"
42,2,20,04 May 01,"Pique","https://www.tvmaze.com/episodes/7020/law-order-special-victims-unit-2x20-pique"
43,2,21,11 May 01,"Scourge","https://www.tvmaze.com/episodes/7021/law-order-special-victims-unit-2x21-scourge"
44,3,1,28 Sep 01,"Repression","https://www.tvmaze.com/episodes/7022/law-order-special-victims-unit-3x01-repression"
45,3,2,05 Oct 01,"Wrath","https://www.tvmaze.com/episodes/7023/law-order-special-victims-unit-3x02-wrath"
46,3,3,12 Oct 01,"Stolen","https://www.tvmaze.com/episodes/7024/law-order-special-victims-unit-3x03-stolen"
47,3,4,19 Oct 01,"Rooftop","https://www.tvmaze.com/episodes/7025/law-order-special-victims-unit-3x04-rooftop"
48,3,5,26 Oct 01,"Tangled","https://www.tvmaze.com/episodes/7026/law-order-special-victims-unit-3x05-tangled"
49,3,6,02 Nov 01,"Redemption","https://www.tvmaze.com/episodes/7027/law-order-special-victims-unit-3x06-redemption"
50,3,7,09 Nov 01,"Sacrifice","https://www.tvmaze.com/episodes/7028/law-order-special-victims-unit-3x07-sacrifice"
51,3,8,16 Nov 01,"Inheritance","https://www.tvmaze.com/episodes/7029/law-order-special-victims-unit-3x08-inheritance"
52,3,9,23 Nov 01,"Care","https://www.tvmaze.com/episodes/7030/law-order-special-victims-unit-3x09-care"
53,3,10,14 Dec 01,"Ridicule","https://www.tvmaze.com/episodes/7031/law-order-special-victims-unit-3x10-ridicule"
54,3,11,04 Jan 02,"Monogamy","https://www.tvmaze.com/episodes/7032/law-order-special-victims-unit-3x11-monogamy"
55,3,12,11 Jan 02,"Protection","https://www.tvmaze.com/episodes/7033/law-order-special-victims-unit-3x12-protection"
56,3,13,18 Jan 02,"Prodigy","https://www.tvmaze.com/episodes/7034/law-order-special-victims-unit-3x13-prodigy"
57,3,14,25 Jan 02,"Counterfeit","https://www.tvmaze.com/episodes/7035/law-order-special-victims-unit-3x14-counterfeit"
58,3,15,01 Feb 02,"Execution","https://www.tvmaze.com/episodes/7036/law-order-special-victims-unit-3x15-execution"
59,3,16,01 Mar 02,"Popular","https://www.tvmaze.com/episodes/7037/law-order-special-victims-unit-3x16-popular"
